plant_name,sunlight,watering,difficulty,light_hours,indoor_outdoor,humidity,temperature_min_c,temperature_max_c,description
Kalanchoe,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Let soil dry between watering. Fertilizer: Balanced.
Kentia Palm,low,2x/week,Medium,3,Indoor,High,12,28,(Howea forsteriana) Family: Arecaceae. Origin: South Pacific. Climate: Tropical. Watering: Keep moist between watering. Must not be dry between watering.
Kikar Tree (acacia),high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Let soil dry between watering. Fertilizer: Organic.
Kiwi,high,Weekly,Easy,6,Outdoor,High,5,35,Growth rate: fast. Soil: loamy. Watering: Keep soil moist. Fertilizer: Organic.
Kiwi Vine,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: fast. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Organic."
Knautia,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, well-drained soil."
Korean Rock Fern,low,2x/week,Medium,3,Indoor,High,-5,28,(Polystichum tsus simense) Family: Dryopteridaceae. Origin: Korea. Climate: Subtropical. Watering: Keep moist between watering. Must not be dry between watering.
Lacandonian,medium,Weekly,Easy,4,Both,High,10,32,"Growth rate: moderate. Soil: loamy. Watering: Regular, moist soil."
Lacy Tree Philodendron,low,2x/week,Medium,3,Indoor,High,18,28,(Philodendron selloum) Family: Araceae. Origin: Brazil. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry..
Lady Palm,low,2x/week,Medium,3,Indoor,High,8,30,(Rhapis excelsa) Family: Arecaceae. Origin: China. Climate: Subtropical. Watering: Keep moist between watering. Must not be dry between watering.
Lady's Mantle,medium,Weekly,Easy,4,Both,High,10,32,Growth rate: moderate. Soil: loamy. Watering: Keep soil moist. Fertilizer: Organic.
Laelia Orchid,high,Weekly,Medium,6,Indoor,High,15,28,Growth rate: slow. Soil: well-drained. Watering: Keep soil consistently moist.
Lamb's Ear,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water weekly. Fertilizer: Balanced.
Lantana,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Organic.
Larkspur,medium,Weekly,Easy,4,Both,Medium,10,32,Growth rate: moderate. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Lavender,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Let soil dry between watering.
Lavender (english),high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Let soil dry between watering. Fertilizer: Balanced.
Lavender (french),high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Let soil dry between watering. Fertilizer: Balanced.
Lemon Balm,medium,Weekly,Easy,4,Both,Medium,10,32,Growth rate: moderate. Soil: well-drained. Watering: Water weekly. Fertilizer: Organic.
Lemon Grass,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: fast. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Organic."
Lemon Tree,high,Weekly,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Regular watering. Fertilizer: Organic.
Lemongrass,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: well-drained. Watering: Water weekly. Fertilizer: Organic.
Liatris,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Low-nitrogen."
Ligustrum,medium,Every 2 weeks,Easy,4,Both,Low,10,32,Growth rate: fast. Soil: loamy. Watering: Water when topsoil is dry. Fertilizer: Low-nitrogen.
Lilac,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Balanced."
Lilac Bush,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Balanced."
Lilac Tree,medium,Weekly,Medium,4,Both,Medium,10,32,Growth rate: slow. Soil: loamy. Watering: Water weekly. Fertilizer: Balanced.
Lilliput Agave,high,Every 2 weeks,Medium,6,Indoor,High,12,35,"(Agave striata) Family: Amaryllidaceae. Origin: Mexico. Climate: Arid Tropical. Watering: Water only when the soil is dry. Must be dry between watering. Watch for: Scale, Mealy bug."
Lily of the Valley,medium,Weekly,Medium,4,Both,High,10,32,"Growth rate: slow. Soil: acidic. Watering: Regular, moist soil. Fertilizer: Low-nitrogen."
Lime Philodendron,low,2x/week,Medium,3,Indoor,High,18,28,(Philodendron) Family: Araceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry..
Lipstick,high,2x/week,Medium,6,Indoor,High,14,32,"(Aeschynanthus lobianus) Family: Gesneriaceae. Origin: Java. Climate: Tropical. Watering: Keep moist between watering. Can be a bit dry between watering. Watch for: Mealy bug, Aphid, Thrips."
Lipstick Plant,high,Weekly,Easy,6,Both,High,10,32,"The lipstick plant (Aeschynanthus radicans) is an amazing species that stands out with its unique color, texture and shape. Its waxy leaves have attractive colors, making it pleasing to look at, while its clusters of bright red and orange flowers ..."
Lisa Dracaena,low,2x/week,Medium,3,Indoor,High,10,30,"(Dracaena deremensis) Family: Liliaceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Can dry between watering. Watch for: Mealy bug, Scale."
Litchi,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: moderate. Soil: well-drained. Watering: Regular watering. Fertilizer: Organic.
Lobelia,high,Weekly,Easy,6,Both,Medium,10,32,Growth rate: fast. Soil: well-drained. Watering: Water weekly. Fertilizer: Low-nitrogen.
Lotus,high,Weekly,Easy,6,Outdoor,High,5,35,Growth rate: moderate. Soil: loamy. Watering: Keep soil consistently moist. Fertilizer: Balanced.
Lotus Bamboo,high,Weekly,Medium,6,Indoor,Medium,15,28,Growth rate: slow. Soil: well-drained. Watering: Water weekly. Fertilizer: Organic.
Luffa,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: fast. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Balanced."
Lupine,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water weekly. Fertilizer: Balanced.
Lychee,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: moderate. Soil: well-drained. Watering: Regular watering. Fertilizer: Organic.
Madagascar Dragon Tree,medium,2x/week,Medium,4,Indoor,High,10,28,"(Dracaena marginata) Family: Liliaceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Can dry between watering. Watch for: Mealy bug, Scale, Spider mite."
Madagascar Palm,high,Every 2 weeks,Medium,6,Indoor,High,8,35,(Pachypodium geayi) Family: Apocynaceae. Origin: Madagascar. Climate: Arid Tropical. Watering: Water only when the soil is dry. Must be dry between watering.
Magnolia,high,Every 2 weeks,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: acidic. Watering: Water when soil is dry. Fertilizer: Acidic.
Maidenhair Fern,low,Weekly,Medium,3,Indoor,Medium,15,28,"The maidenhair fern (Adiantum capillus-veneris) is a beautiful and unique species of fern with feathery, wispy fronds that give an air of delicacy and grace to any space. Its elegant fronds are complemented by lovely fan-like foliage made up of nu..."
Maindenhair,medium,2x/week,Medium,4,Both,High,12,30,"(Adiantum raddianum) Family: Polypodiaceae. Origin: Brazil. Climate: Tropical. Watering: Keep moist between watering. Must not be dry between watering. Watch for: Mealy bug, Aphid, Snail."
Majesty Palm,high,2x/week,Medium,6,Indoor,High,8,30,"(Ravenea rivularis) Family: Arecaceae. Origin: Madagascar. Climate: Tropical. Watering: Keep moist between watering. Must not be dry between watering. Watch for: Spider mite, Mealy bug."
Malaysian Dracaena,low,2x/week,Medium,3,Indoor,High,12,30,(Dracaena reflexa) Family: Liliaceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry..
Mallow,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: loamy. Watering: Regular watering. Fertilizer: Organic.
Malva (mallow),high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Organic."
Mandevilla,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: fast. Soil: loamy. Watering: Regular, well-drained soil. Fertilizer: Balanced."
Mango,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Regular watering. Fertilizer: Organic.
Maranta (prayer Plant),low,Weekly,Easy,3,Both,High,10,32,"Growth rate: moderate. Soil: loamy. Watering: Regular, moist soil. Fertilizer: Balanced."
Marigold,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: well-drained. Watering: Water when soil is dry. Fertilizer: Balanced.
Marigold (african),high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: fast. Soil: loamy. Watering: Regular, moist soil. Fertilizer: Organic."
Marjoram,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water when soil is dry.
Mayapple,medium,Weekly,Medium,4,Both,High,10,32,"Growth rate: slow. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Low-nitrogen."
Medallion Calathea,low,2x/week,Medium,3,Both,High,10,25,"(Calathea veitchiana) Family: Marantaceae. Origin: Hybrid. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Mealy bug, Scale."
Meyer Lemon,high,Every 2 weeks,Medium,6,Both,Medium,10,32,"The Meyer lemon (Citrus meyeri) is an amazing plant species known for its flavor and ease of growing. It is a hybrid between a mandarin orange and a lemon, lending itself to a sweet flavor and slightly tarter taste than either of its parent fruits..."
Mimosa,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: fast. Soil: loamy. Watering: Regular, moist soil."
Ming Aralia,high,2x/week,Medium,6,Indoor,High,12,30,"(Polyscias fruticosa Elegans) Family: Araliaceae. Origin: Malaysia. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Aphid, Mealy bug."
Miniature Fishtail,medium,2x/week,Medium,4,Indoor,High,10,30,(Chamaedorea metallica) Family: Arecaceae. Origin: Mexico. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry..
Miniature Tree Fern,low,2x/week,Medium,3,Indoor,High,10,30,"(Blechnum gibbum) Family: Polypodiaceae. Origin: New Calidonia. Climate: Tropical humid. Watering: Keep moist between watering. Must not be dry between watering. Watch for: Mealy bug, Scale."
Mint,medium,Weekly,Easy,4,Both,High,10,32,Growth rate: fast. Soil: well-drained. Watering: Keep soil consistently moist. Fertilizer: Balanced.
Money Plant,high,Every 2 weeks,Easy,6,Indoor,Low,15,28,Growth rate: moderate. Soil: well-drained. Watering: Water when topsoil is dry. Fertilizer: Balanced.
Monster Cactus,high,Every 2 weeks,Medium,6,Indoor,High,5,35,"(Cereus peruvianus Monstrosus) Family: Cactaceae. Origin: Brazil. Climate: Arid Tropical. Watering: Water only when dry or when soil is half dry.. Watch for: Scale, Mealy bug."
Monstera,high,Weekly,Easy,6,Indoor,Medium,15,28,Growth rate: moderate. Soil: well-drained. Watering: Water weekly.
Moringa,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Regular watering. Fertilizer: Organic.
Morning Glory,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Mulberry,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: moderate. Soil: well-drained. Watering: Regular watering. Fertilizer: Organic.
Mustard,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: loamy. Watering: Regular watering. Fertilizer: Balanced.
Nandina (heavenly Bamboo),medium,Weekly,Easy,4,Both,Medium,10,32,"Growth rate: moderate. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Organic."
Nasturtium,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: well-drained. Watering: Water weekly. Fertilizer: Organic.
Natal Lily,high,Weekly,Medium,6,Both,Medium,10,32,"The Natal lily (Clivia miniata) is a beautiful and unique plant native to South Africa. It produces vibrant orange and yellow trumpet-shaped blooms which appear in spring or summer. It is adapted to surviving in habitats with extreme temperatures,..."
Nectarine,high,Weekly,Medium,6,Outdoor,Medium,5,35,Growth rate: slow. Soil: loamy. Watering: Regular watering. Fertilizer: Organic.
Neem Tree,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Let soil dry between watering. Fertilizer: Organic.
Neoregalia (bromeliad),high,Weekly,Easy,6,Indoor,High,15,28,"Growth rate: moderate. Soil: moist. Watering: Regular, moist soil. Fertilizer: Balanced."
Nerve Plant,low,Weekly,Medium,3,Indoor,Medium,15,28,"The Nerve Plant is an amazing addition to any home or garden. With leaves ranging from lime green to deep burgundy, it's sure to create a bold and beautiful display. Its captivating foliage is rounded off with white veins running throughout, givin..."
Nettle,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: fast. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Organic."
Nutmeg,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: moderate. Soil: loamy. Watering: Regular, moist soil. Fertilizer: Organic."
Oleander,high,2x/week,Medium,6,Indoor,High,5,30,"(Nerium oleander) Family: Apocynaceae. Origin: Mediterranean. Climate: Subtropical. Watering: Keep moist between watering. Must not be dry between watering. Watch for: Scale, Aphid, Mealy bug."
Olive Tree,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Balanced.
Onion,high,Weekly,Medium,6,Indoor,Medium,15,28,"Onion (Allium cepa) is an amazing and versatile vegetable that has been used in cooking for centuries. Its taste is powerful yet complex, and it adds flavor and texture to many dishes. Onions are incredibly nutritious and are packed with essential..."
Orchid,medium,2x/week,Medium,4,Indoor,High,15,28,"The orchid Calanthe 'Kozu Spice' is an amazing flower for any gardener. Its petals are deep, rich purple and its evergreen foliage radiates in shades of deep green. This orchid is extremely resilient, and it can grow in almost any environment, fro..."
Orchid (vanilla),high,Weekly,Medium,6,Indoor,Medium,15,28,"Growth rate: slow. Soil: well-drained. Watering: Regular, well-drained soil."
Orchid Cactus,high,2x/week,Medium,6,Indoor,High,5,32,(Epiphyllum) Family: Cactaceae. Origin: Hybrid. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry..
Orchids,high,Weekly,Easy,6,Indoor,Medium,15,28,Growth rate: moderate. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Oregano,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water when topsoil is dry. Fertilizer: Organic.
Ornamental Pepper,high,Weekly,Medium,6,Indoor,Medium,15,28,"Ornamental pepper (Capsicum annuum 'Black Pearl') is an amazing plant species due to its unique features and dramatic colour display. These peppers produce small conical fruits that change colour from black to bright yellow when ripe, creating a s..."
Pansy,medium,2x/week,Easy,4,Both,High,10,32,Growth rate: moderate. Soil: well-drained. Watering: Keep soil evenly moist. Fertilizer: Organic.
Parlor Ivy,low,2x/week,Medium,3,Indoor,High,18,28,(Philodendron scandens oxycardium) Family: Araceae. Origin: Central America. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry..
Parlor Palm,low,Weekly,Medium,3,Both,High,10,32,"The Parlor Palm (Chamaedorea elegans) is an amazing house plant with several incredible attributes. It is a very slow growing species, requiring minimal maintenance. It is also quite small, so it fits perfectly in spaces such as desks, tabletops o..."
Parrot Palm,high,2x/week,Medium,6,Indoor,High,12,30,(Syagrus schizophylla) Family: Arecaceae. Origin: Brazil. Climate: Tropical humid. Watering: Keep moist between watering. Water when soil is half dry..
Parsley,medium,Weekly,Easy,4,Both,High,10,32,Growth rate: moderate. Soil: well-drained. Watering: Keep soil consistently moist. Fertilizer: Organic.
Passionflower,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: fast. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Organic."
Peace Lily,low,2x/week,Medium,3,Indoor,High,15,28,"(Spathiphyllum Lynise) Family: Araceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Must not be dry between watering. Watch for: Mealy bug, Thrips."
Peacock Plant,medium,Weekly,Easy,4,Indoor,High,15,28,"The Peacock Plant (Calathea makoyana) is an amazing plant with unique foliage. Its striking leaves boast a bright green color on the surface and deep purple color on the underside. These attractive leaves grow in an interesting fan shape, possessi..."
Peepal Tree,high,Weekly,Medium,6,Outdoor,High,5,35,"Growth rate: slow. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Organic."
Peepal Tree (bodhi Tree),medium,Weekly,Easy,4,Both,Medium,10,32,"Growth rate: moderate. Soil: loamy. Watering: Regular, well-drained soil. Fertilizer: Organic."
Peony,high,Weekly,Medium,6,Outdoor,Medium,5,35,Growth rate: slow. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Peperomia,low,Weekly,Medium,3,Indoor,Medium,15,28,Growth rate: slow. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Pepper Plant,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Balanced."
Periwinkle,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water weekly. Fertilizer: Low-nitrogen.
Persian Violet,medium,Weekly,Easy,4,Both,Medium,10,32,"Persian Violet (Cyclamen hederifolium) is an incredibly beautiful shade loving plant. Bursting with small, delicate, heart-shaped flowers in vibrant shades of white, pink, or lavender, it's the perfect garden addition to any creative landscape. It..."
Petunia,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Petunia (trailing),high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Regular Watering. Fertilizer: Organic.
Philippine Evergreen,low,Weekly,Medium,2,Both,High,10,32,"Philippine evergreen (Aglaonema commutatum) is truly an amazing plant for many reasons. It has a beautiful, glossy foliage that is decorated with silver brush strokes, giving it an eye-catching appearance. It is also considered one of the most ver..."
Philodendron,low,Weekly,Easy,3,Indoor,Medium,15,28,Growth rate: moderate. Soil: well-drained. Watering: Water weekly.
Phlox,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: well-drained. Watering: Water when soil is dry. Fertilizer: Balanced.
Phrynium,medium,2x/week,Medium,4,Indoor,High,12,25,"(Ctenanthe lubbersiana) Family: Marantaceae. Origin: Brazil. Climate: Tropical. Watering: Keep moist between watering. Must not be dry between watering. Watch for: Spider mite, Mealy bug."
Picta Philodendron,low,Every 2 weeks,Medium,3,Indoor,High,12,30,(Scindapsus pictus argyraeus) Family: Araceae. Origin: Indonisia. Climate: Tropical. Watering: Water when soil is half dry. Can be dry between watering..
Pignee Date Palm,high,2x/week,Medium,6,Indoor,High,8,28,"(Phoenix roebellinii) Family: Palmae. Origin: Vietnam. Climate: Tropical. Watering: Keep moist between watering. Must not be dry between watering. Watch for: Spider mite, Scale."
Pilea,high,Every 2 weeks,Easy,6,Indoor,Low,15,28,Growth rate: moderate. Soil: loamy. Watering: Water when topsoil is dry. Fertilizer: Balanced.
Pine,high,Every 2 weeks,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Water when soil feels dry. Fertilizer: Balanced.
Pineapple,high,Weekly,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Water weekly. Fertilizer: Organic.
Pineapple Sage,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: fast. Soil: loamy. Watering: Regular, moist soil. Fertilizer: Balanced."
Pink Quill,medium,Weekly,Medium,4,Indoor,High,15,30,(Tillandsia cyanea) Family: Bromeliaceae. Origin: Ecuador. Climate: Tropical humid. Watering: Change water regularly in the vase. Water when soil is half dry..
Plumeria,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: loamy. Watering: Regular, well-drained soil. Fertilizer: Low-nitrogen."
Poinsettia,medium,Weekly,Easy,4,Indoor,Medium,15,28,Poinsettias (Euphorbia pulcherrima) are the perfect houseplant for the holiday season. Stunning red flower bracts contrast against dark green foliage that rarely needs pruning and the red blooms can last up to six months with proper care. In addit...
Pomegranate,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Balanced."
Ponytail Palm,medium,Weekly,Medium,4,Both,Medium,10,32,"The ponytail palm (Beaucarnea recurvata) is one of the most interesting houseplants out there. Unique and eye-catching, it has a swollen base and a thin, cascading crown of green foliage, resembling a head of hair. It’s a slow growing and long liv..."
Poppy,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: well-drained. Watering: Water when soil is dry. Fertilizer: Low-nitrogen.
Portulaca,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Balanced.
Potato Vine,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: fast. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Balanced."
Pothos,low,Weekly,Medium,3,Indoor,High,15,28,"Pothos (Epipremnum aureum 'Neon') is one of the most amazing plants on the market. It is a low-maintenance perennial that loves indirect light and is very easy to care for. Its vibrant lime green and yellow leaves can brighten up any room, making ..."
Pothos (golden Pathos),low,Every 2 weeks,Easy,3,Indoor,Low,15,28,Growth rate: fast. Soil: loamy. Watering: Water when topsoil is dry. Fertilizer: Balanced.
Protea,high,Weekly,Medium,6,Outdoor,Medium,5,35,"Growth rate: slow. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Organic."
Purslane,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: fast. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Balanced."
Quaking Aspen,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Organic."
Quince,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Balanced."
Quinoa,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: fast. Soil: loamy. Watering: Regular, well-drained soil."
Rabbit's Foot Fern,low,Weekly,Medium,3,Indoor,High,15,28,The rabbit's foot fern (Davallia fejeensis) is an amazing species of fern which boasts beautiful furry fronds and furry rhizomes that are quite unique in the world of ferns. Its dark green fronds create an exotic and eye-catching display when grow...
Rabbits Foot,medium,Every 2 weeks,Medium,4,Indoor,High,10,25,"(Davallia trichomannoides) Family: Davalliaceae. Origin: Canaries. Climate: Tropical. Watering: Water when soil is half dry. Can be dry between watering.. Watch for: Mealy bug, Scale."
Radish,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: fast. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Organic."
Raspberry,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: acidic. Watering: Regular, well-drained soil. Fertilizer: Organic."
Rattlesnake Plant,low,Weekly,Medium,3,Indoor,High,15,28,"Calathea lancifolia, commonly known as rattlesnake plant, is an amazing houseplant that has extra-ordinary foliage. The leaves are long, narrow and wavy, like snakeskin, and have alternating white and dark green stripes. When its leaves move, the ..."
Red Hot Poker (kniphofia),high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Organic."
Red Leafed Maple,medium,Weekly,Medium,4,Both,Medium,10,32,"Growth rate: slow. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Balanced."
Red Maple,high,Weekly,Medium,6,Outdoor,High,5,35,"Growth rate: slow. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Balanced."
Red Philodendron,low,2x/week,Medium,3,Indoor,High,18,28,(Philodendron) Family: Araceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry..
Redwood,high,Weekly,Medium,6,Outdoor,High,5,35,"Growth rate: slow. Soil: moist. Watering: Regular, moist soil. Fertilizer: Low-nitrogen."
Rex Begonia,low,Weekly,Medium,3,Indoor,Medium,15,28,"The Rex Begonia, or Begonia Rex-Cultorum, is truly an amazing type of plant. With its stunning and vibrant colors, intricate and intricate leaf structure, and overall lush appearance, the Rex Begonia is sure to transform any dull looking space. It..."
Rhododendron,medium,Weekly,Medium,4,Both,Medium,10,32,"Growth rate: slow. Soil: acidic. Watering: Regular, well-drained soil. Fertilizer: Organic."
River Birch,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Balanced."
Rose Grape,high,2x/week,Medium,6,Indoor,High,15,30,(Medinilla magnifica) Family: Melastomataceae. Origin: Philippines. Climate: Tropical. Watering: Keep moist between watering. Must not be dry between watering.
Rose of Sharon,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: moderate. Soil: moist. Watering: Regular, moist soil. Fertilizer: Balanced."
Rosemary,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: well-drained. Watering: Let soil dry between watering.
Rosemary Mint,medium,Weekly,Easy,4,Both,Medium,10,32,"Growth rate: moderate. Soil: well-drained. Watering: Regular, well-drained soil."
Rosy Maidenhair,medium,2x/week,Medium,4,Both,High,12,30,"(Adiantum hispidulum) Family: Polypodiaceae. Origin: Australia & New Guinea. Climate: Tropical. Watering: Keep moist between watering. Must not be dry between watering. Watch for: Mealy bug, Aphid, Snail."
Rubber Plant,high,2x/week,Medium,6,Indoor,High,10,30,"(Ficus elastica) Family: Moraceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Can dry between watering. Watch for: Mealy bug, Scale."
Rudbeckia,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water weekly. Fertilizer: Organic.
Russian Sage,high,Every 2 weeks,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Low-nitrogen.
Sage,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: well-drained. Watering: Let soil dry between watering. Fertilizer: Organic.
Sago Palm,high,Weekly,Medium,6,Both,Medium,8,30,"The Sago palm (Cycas revoluta) is an amazing plant species that is known for its unique fan-shaped leaves and intricate patterns. It requires minimal maintenance and is extremely resilient to harsh weather conditions, enabling it to thrive in both..."
Salvia,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water weekly. Fertilizer: Balanced.
Scabiosa (pincushion Flower),high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: moderate. Soil: loamy. Watering: Regular, moist soil. Fertilizer: Organic."
Scilla,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: moderate. Soil: moist. Watering: Regular, moist soil. Fertilizer: Low-nitrogen."
Sea Holly,high,Every 2 weeks,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Balanced.
